model,accuracy,f1_weighted,precision_0,precision_1,precision_2,recall_0,recall_1,recall_2,f1_0,f1_1,f1_2
lr_model_2,0.5232288037166086,0.5196978225317527,0.5300859598853869,0.4622496147919877,0.574585635359116,0.417607223476298,0.46875,0.651017214397496,0.4671717171717172,0.46547711404189296,0.6104181951577403
xgbc_model_2,0.5,0.47814196520861957,0.5694444444444444,0.43253012048192774,0.5614973262032086,0.18510158013544017,0.5609375,0.6572769953051644,0.27938671209540034,0.4884353741496599,0.6056236481614996
rfc_model,0.47444831591173053,0.4382539822236828,0.3904191616766467,0.495,0.5705967976710334,0.7358916478555305,0.1546875,0.6134585289514867,0.5101721439749609,0.2357142857142857,0.5912518853695324
nn_model_2,0.4895470440387726,0.48786181857009137,0.4745762711864407,0.42653352353780316,0.5637181409295352,0.3792325056433409,0.4671875,0.5884194053208138,0.4215809284818068,0.4459358687546607,0.5758039816232772
nn_model_3,0.4866434335708618,0.4867179960398408,0.4519906323185012,0.44545454545454544,0.552755905511811,0.435665914221219,0.459375,0.5492957746478874,0.4436781609195402,0.4523076923076923,0.5510204081632653
nn_model_4,0.5226480960845947,0.5209427998596984,0.4806763285024155,0.4659270998415214,0.6011816838995568,0.4492099322799097,0.459375,0.6369327073552425,0.4644107351225204,0.4626278520849725,0.6185410334346505
nn_model_5,0.5058072209358215,0.5035817441134538,0.4819004524886878,0.4412751677852349,0.577485380116959,0.48081264108352145,0.4109375,0.6181533646322379,0.48135593220338985,0.4255663430420712,0.5971277399848829
