model,accuracy,f1_weighted,precision_0,precision_1,precision_2,precision_3,recall_0,recall_1,recall_2,recall_3,f1_0,f1_1,f1_2,f1_3
lr_model,0.4140534262485482,0.40763946778400995,0.45746691871455575,0.33242506811989103,0.31733333333333336,0.5099778270509978,0.54627539503386,0.2863849765258216,0.2793427230046948,0.5386416861826698,0.49794238683127573,0.3076923076923077,0.29712858926342073,0.5239179954441914
xgbc_model,0.4094076655052265,0.3937374768541309,0.40524781341107874,0.3489208633093525,0.3333333333333333,0.5102974828375286,0.6275395033860045,0.22769953051643194,0.2511737089201878,0.522248243559719,0.4924712134632418,0.2755681818181818,0.28647925033467203,0.5162037037037037
