model,accuracy,f1_weighted,precision_0,precision_1,precision_2,recall_0,recall_1,recall_2,f1_0,f1_1,f1_2
lr_model_2,0.5458768873403019,0.5439635189585135,0.5432432432432432,0.48343373493975905,0.6075581395348837,0.45372460496614,0.5015625,0.6541471048513302,0.4944649446494465,0.49233128834355827,0.6299924642049737
xgbc_model_2,0.5087108013937283,0.5016989670943584,0.5450819672131147,0.4380475594493116,0.5787923416789397,0.3002257336343115,0.546875,0.6150234741784038,0.38719068413391555,0.4864489228630994,0.5963581183611533
rfc_model,0.49419279907084784,0.4593550451893053,0.41840490797546015,0.46808510638297873,0.5952380952380952,0.7697516930022573,0.171875,0.6259780907668232,0.5421303656597775,0.25142857142857145,0.6102212051868803
nn_model_2,0.50696861743927,0.5078927109186022,0.4877450980392157,0.44680851063829785,0.5894909688013136,0.4492099322799097,0.4921875,0.5618153364632238,0.46768507638072854,0.4684014869888476,0.5753205128205128
nn_model_3,0.5139372944831848,0.5137974125722483,0.494949494949495,0.4546783625730994,0.5887850467289719,0.44243792325056436,0.4859375,0.5915492957746479,0.46722288438617404,0.4697885196374622,0.5901639344262295
nn_model_4,0.5499419569969177,0.5471281806796522,0.5450236966824644,0.49072512647554806,0.6025459688826026,0.5191873589164786,0.4546875,0.6666666666666666,0.5317919075144508,0.4720194647201946,0.6329866270430906
nn_model_5,0.5336817502975464,0.5342999559418029,0.5303430079155673,0.46785225718194257,0.6143790849673203,0.45372460496614,0.534375,0.5884194053208138,0.48905109489051096,0.4989059080962801,0.601119104716227
